file,pass,score,violation_count,top_violation
docs/archive/prompt-versions/v1.md,False,0,8,original keyword used: def
docs/archive/prompt-versions/v2.md,False,0,5,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v3.md,False,0,8,missing alias for if: do not trust default python keyword prior
docs/archive/prompt-versions/v4.md,False,0,6,original keyword used: def
docs/archive/prompt-versions/v5.md,False,0,4,original keyword used: if
docs/archive/prompt-versions/v6.md,False,0,5,missing alias for if: do not trust default python keyword prior
docs/archive/prompt-versions/v7.md,False,0,7,original keyword used: if
docs/archive/prompt-versions/v8.md,False,10,9,missing alias for def: convert this phrase back to python reserved token
docs/archive/prompt-versions/v9.md,False,0,8,missing alias for if: return
docs/archive/prompt-versions/v10.md,False,0,8,missing alias for def: do not trust default python keyword prior
docs/archive/prompt-versions/v11.md,False,0,5,missing alias for return: apply this mapped token before generating code
docs/archive/prompt-versions/v12.md,False,0,8,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v13.md,False,0,5,original keyword used: if
docs/archive/prompt-versions/v14.md,False,0,6,original keyword used: def
docs/archive/prompt-versions/v15.md,False,0,8,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v16.md,False,0,10,missing alias for def: for
docs/archive/prompt-versions/v17.md,False,0,4,"missing alias for return: no, use exact python original grammer"
docs/archive/prompt-versions/v18.md,False,0,8,missing alias for def: follow renamed symbol exactly and continue
docs/archive/prompt-versions/v19.md,False,0,5,original keyword used: def
docs/archive/prompt-versions/v20.md,False,0,8,original keyword used: def
docs/archive/prompt-versions/v21.md,False,0,4,missing alias for return: keep this long alias while preserving python grammar
docs/archive/prompt-versions/v22.md,False,0,7,missing alias for return: use this token exactly for keyword mapping
docs/archive/prompt-versions/v23.md,False,0,8,original keyword used: def
docs/archive/prompt-versions/v24.md,False,0,8,missing alias for def: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v25.md,False,0,10,missing alias for def: apply this mapped token before generating code
docs/archive/prompt-versions/v26.md,False,0,10,missing alias for def: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v27.md,False,0,11,missing alias for def: out
docs/archive/prompt-versions/v28.md,False,0,7,missing alias for def: use this token exactly for keyword mapping
docs/archive/prompt-versions/v29.md,False,0,5,missing alias for return: apply this mapped token before generating code
docs/archive/prompt-versions/v30.md,False,0,7,original keyword used: if
docs/archive/prompt-versions/v31.md,False,0,9,"missing alias for def: no, use exact python original grammer"
docs/archive/prompt-versions/v32.md,False,60,4,original keyword used: return
docs/archive/prompt-versions/v33.md,False,0,8,missing alias for def: follow renamed symbol exactly and continue
docs/archive/prompt-versions/v34.md,False,0,6,original keyword used: if
docs/archive/prompt-versions/v35.md,False,0,7,missing alias for if: do not trust default python keyword prior
docs/archive/prompt-versions/v36.md,False,0,8,original keyword used: if
docs/archive/prompt-versions/v37.md,False,0,10,missing alias for def: follow renamed symbol exactly and continue
docs/archive/prompt-versions/v38.md,False,0,10,missing alias for def: follow renamed symbol exactly and continue
docs/archive/prompt-versions/v39.md,False,0,10,missing alias for def: this keyword is replaced by long natural phrase
docs/archive/prompt-versions/v40.md,False,0,2,original keyword used: for
docs/archive/prompt-versions/v41.md,False,0,8,missing alias for def: use this token exactly for keyword mapping
